2021-07-18 19:25:31 INFO  Hook:38 - Log4j Configured
2021-07-18 19:25:32 INFO  MainPageHeaderTabsPage:33 - MainPageHeaderTabsPage Constructor initialized
2021-07-18 19:25:32 INFO  MainPageHeaderTabsPage:56 - clicked on: English tab
2021-07-18 19:25:32 INFO  MainPageHeaderTabsPage:71 - select size: 41
2021-07-18 19:25:33 INFO  MainPageHeaderTabsPage:75 - selectDropDownOptions: United Kingdom
2021-07-18 19:25:33 INFO  MainPageHeaderTabsPage:90 - selectDropDownOptions: English
2021-07-18 19:25:33 INFO  MainPageHeaderTabsPage:102 - clicked on saveButton: Save
2021-07-18 19:25:33 INFO  Hook:46 - After SCENARIO
2021-07-18 19:25:35 TRACE WebSocket08FrameEncoder:130 - Encoding WebSocket Frame opCode=8 length=26
2021-07-18 19:25:36 INFO  Hook:21 - BEFORE SCENARIO
2021-07-18 19:25:41 INFO  Hook:28 - website open 
